id,YEAR,STATES,LAT,LONG,POPULATION,AREA(KM2),DENSITY,TOTAL PC,TOTAL VC,TOTAL CRIME,UNEMPLOYMENT
274,2001,Kedah,6.1184,100.3685,1704100,9500,179.37894740000002,6948,662,7610,3.6
275,2001,Kelantan,6.125397,102.238068,1390100,17100,81.29239766,2216,252,2468,3.1
276,2001,Melaka,2.1944,102.2491,666000,1664,400.2403846,4221,397,4618,1.8
277,2001,Negeri sembilan,2.7258,101.9424,883900,6686,132.2016153,3764,506,4270,3.2
278,2001,Pahang,3.8126,103.3256,1316600,35965,36.60781315,3093,430,3523,3.1
279,2001,Penang,5.4164,100.3327,1361000,1048,1298.6641220000001,10633,1066,11699,2.5
280,2001,Perak,4.5921,101.0901,2129000,20976,101.4969489,11902,1575,13477,4.0
281,2001,Perlis,6.443589,100.216599,210400,819,256.8986569,418,51,469,3.5
282,2001,Selangor,3.0738,101.524803,4317500,8104,532.7615992,37097,6188,43285,2.4
283,2001,Terengganu,5.3117,103.1324,919200,13035,70.51783659,3716,233,3949,2.7
284,2001,Sarawak,1.5533,110.3592,2115500,124450,16.998794699999998,6396,528,6924,4.4
285,2001,Sabah,5.420404,116.796783,2663300,73631,36.17090628,4537,761,5298,6.6
286,2002,Johor,1.4854,103.366585,2893400,19166,150.965251,19901,3292,23193,2.9
287,2002,Kedah,6.1184,100.3685,1735000,9500,182.63157890000002,7360,767,8127,3.2
288,2002,Kelantan,6.125397,102.238068,1416800,17100,82.85380117,2157,258,2415,3.9
289,2002,Melaka,2.1944,102.2491,683900,1664,410.9975962,3351,381,3732,2.9
290,2002,Negeri sembilan,2.7258,101.9424,900600,6686,134.69937180000002,3451,518,3969,3.7
291,2002,Pahang,3.8126,103.3256,1339000,35965,37.2306409,3087,426,3513,2.9
292,2002,Penang,5.4164,100.3327,1387300,1048,1323.759542,10359,1144,11503,2.2
293,2002,Perak,4.5921,101.0901,2161900,20976,103.06540809999998,9417,1597,11014,3.9
294,2002,Perlis,6.443589,100.216599,213200,819,260.3174603,430,63,493,3.1
295,2002,Selangor,3.0738,101.524803,4446300,8104,548.6549852,36646,6657,43303,3.0
296,2002,Terengganu,5.3117,103.1324,936800,13035,71.86804756,2194,190,2384,3.2
297,2002,Sarawak,1.5533,110.3592,2158200,124450,17.34190438,6450,538,6988,4.0
298,2002,Sabah,5.420404,116.796783,2719100,73631,36.92873925,4154,627,4781,5.9
299,2003,Johor,1.4854,103.366585,2954000,19166,154.1271001,19070,3865,22935,3.5
